child_id,parent_id
c4b7a2b2884f41c9f1806e5d5f6f370e8,c8f4a3a739447ed91f180767d3b63749d
c810633c6cb5b721a84d666a06f9ac9fe,cc1d9f50f86825a1a2302ec2449c17196
c0b0dae5d13438370a10972d4486283fa,c810633c6cb5b721a84d666a06f9ac9fe
ce9e9ff522cae2cb6bf601cf6bb421417,c510050a4b4f0428913506ce624d11fc3
ceeabb1563a66e513135facdcfbc9d1a7,cc05f6c233521207f6fe311afef550c3c
c23e1bef1e2fd14b812974507b2862dad,cc6d1054297d790309069f1eaad03290e
c6cccbbddbd8bc0654b0ae2b61fa2c946,c23e1bef1e2fd14b812974507b2862dad
c014f2d79a668b9a3f8fe6ec8acda6722,c6cccbbddbd8bc0654b0ae2b61fa2c946
c554a3a6c599712c7c85457af69ede552,c7679a031a6d06cd7cb185549d365bd8d
c4296eefb440b8ecd06f3672034c05577,c554a3a6c599712c7c85457af69ede552
c2732a90d01770225a43236dac88d8552,ccc1ffa7e444f6be1c12716a819bff7e7
c32e1943cdc8ac4fa41749e2a9814f082,ca3fe35e80df2406043f7dfc5c69d7ba7
c89ff7b3eac6c616e64207194d92860a0,c32e1943cdc8ac4fa41749e2a9814f082
c63123c8a6fee6512005163c2d37aebcc,c89ff7b3eac6c616e64207194d92860a0
c591cb05eb03a7792d8c46484395fa269,c63123c8a6fee6512005163c2d37aebcc
c0df13c12eda8d09b2939d9577ff3c30e,c591cb05eb03a7792d8c46484395fa269
cffaba45da78c2b5e9958abbd24250885,c0df13c12eda8d09b2939d9577ff3c30e
c7a6b49b5c424cb4092e9a16323829c78,cffaba45da78c2b5e9958abbd24250885
c285d148a1abbf09a7e8dc6257e9edbc1,c7a6b49b5c424cb4092e9a16323829c78
c886c938d8828498dc0f25db504627469,c285d148a1abbf09a7e8dc6257e9edbc1
c06d850b06f4dc8370590fbd420a21419,cf0e326dae36ed16172f424f9860a2ad6
c7e403a98b99606b4a914f814be9933fb,c95feb062d9ff9a43b1cbf6626d19aa4e
cddb85a60bb6bbd122968d2a1f7136137,ccc1ffa7e444f6be1c12716a819bff7e7
cc513a6e185ce3a27bfc8910db633aa41,c555bf8344ca0caf09b42f55e185526d8
ccd42557d12c158ba48ff8ae9356360a5,c8dcab8e5e926a6d9b45af9032306babe
c3207c846934a49c5f03da36abaca307e,ccd42557d12c158ba48ff8ae9356360a5
cbb72d20beee19c69a39d2773f20888dd,c8e0339418601b3c8529602af1017e182
cde8caa64440a23325729589acc6e7dea,cbb72d20beee19c69a39d2773f20888dd
cd9a619a2695b5f0a499347bfd1779528,cc1d9f50f86825a1a2302ec2449c17196
c04130ab7aaaacb23ea71cbd81266002e,cd9a619a2695b5f0a499347bfd1779528
c99a6d922103cf73b1516ade5c70d16ba,ccc1ffa7e444f6be1c12716a819bff7e7
ca3ef71201abb72daae5382f78ffcdaf5,ccc1ffa7e444f6be1c12716a819bff7e7
cb1aa4f5b598418e56d45cb273ea265f0,ccc1ffa7e444f6be1c12716a819bff7e7
c08e72bf9d3246f35a5c9ab17f2a79bd2,ccc1ffa7e444f6be1c12716a819bff7e7
cc054e2e4ad6cf568a31becd6dc467c72,ccc1ffa7e444f6be1c12716a819bff7e7
c06bc4f7d2ae2dfffe22621a6ea143949,ccc1ffa7e444f6be1c12716a819bff7e7
cda2e4de55a8cad537676b1e2ae502f1b,c86c81491efce02a139304eb9896a5ca5
ca6fffbc3fdda3bd2ccfcb90974f0cc32,cda2e4de55a8cad537676b1e2ae502f1b
