citing_id,cited_id
pa0da8eddc9c03e62c94b2bb371f982da,p662db8988fdac760caff242510173b66
pa0da8eddc9c03e62c94b2bb371f982da,p02ae4b9d19a3aad54434e0503698e6b4
pa0da8eddc9c03e62c94b2bb371f982da,p93aebc4a2365559833b8d2fad8b065b2
pa0da8eddc9c03e62c94b2bb371f982da,p65fc03cd73f0693de649be5baad4027c
pa0da8eddc9c03e62c94b2bb371f982da,p5aac0ece5b6698f50f034452b56107c6
p79f68cad200f18b3583ed9e4c304a817,p0045c8fe2b39ace89d054abcd7ceaf04
p79f68cad200f18b3583ed9e4c304a817,pecc3f4c020eafda86be7cb0ac6a8f8a5
p79f68cad200f18b3583ed9e4c304a817,pf62ab97c790dbc303d7493f5a416c78b
p11e0eed8d3696c0a632f822df385ab3c,p116aa61ae6d42aa25c0566db72f41e17
p11e0eed8d3696c0a632f822df385ab3c,p1c290507794d5b495c97acb109a095b7
pe353dbe42c8654f33588d4da0b517469,pc95cfe0da7a94000c5af178c2ff67349
pe353dbe42c8654f33588d4da0b517469,p5ed075ce14bf1a7e7ac73455fbd4c749
pe353dbe42c8654f33588d4da0b517469,pe302be0fe289b4749fbeca7991fc1a92
pe353dbe42c8654f33588d4da0b517469,p51acf043a5843b1c98627832cf2a9f43
pe353dbe42c8654f33588d4da0b517469,pdc587333d6318fc153882abf5c17b453
pe353dbe42c8654f33588d4da0b517469,p51b2b1903ee4f77256451574d5026eda
pe353dbe42c8654f33588d4da0b517469,pd43a7d9596f21112e61dc3746f68760a
pe353dbe42c8654f33588d4da0b517469,pfedf75d99c670d291fe44bc8d38c8a53
pe353dbe42c8654f33588d4da0b517469,p7e92e7f5e633437dac6885ba61de9e44
pe353dbe42c8654f33588d4da0b517469,pcf5e8fc6384fd72c71ca883dda6a117b
pe353dbe42c8654f33588d4da0b517469,p61dd2e7863369361086b01323f2eea12
pe353dbe42c8654f33588d4da0b517469,pa22c27954405254e99e9e1f67244cdd6
pe353dbe42c8654f33588d4da0b517469,p4db93acfca9b515ddc2eb54e90fdd355
pe353dbe42c8654f33588d4da0b517469,p61db90b515803111cbb8416bf56a7c54
pe353dbe42c8654f33588d4da0b517469,pae7edf2f6054bbd2a8776d8504bde743
pe353dbe42c8654f33588d4da0b517469,p5d33497e6a2de9d68c7f113d44eca496
pe353dbe42c8654f33588d4da0b517469,pfc0e347a33081210cdb928f931d34282
pe353dbe42c8654f33588d4da0b517469,pa0eb845fc8f3940500363c8d6aed1cb3
pe353dbe42c8654f33588d4da0b517469,p181c2f1d1b558537f62cba075603e910
pe353dbe42c8654f33588d4da0b517469,p1c9806ffcbdd90834369132b3a7d526b
pe353dbe42c8654f33588d4da0b517469,pb6b09a58a423965f0313c4f1ff7b68ce
pe353dbe42c8654f33588d4da0b517469,p4081c13bdb2d7069f07b0e958ed6d5fb
pe353dbe42c8654f33588d4da0b517469,p562988cfb8ab53bd28811d7b858317b8
pe353dbe42c8654f33588d4da0b517469,p22402b31fae1e710db18072282bea3a1
pe353dbe42c8654f33588d4da0b517469,pc0781190465b996b5e47c5fff6eae2fc
pe353dbe42c8654f33588d4da0b517469,p9717bdd76dc7831f325e8695b079ebbb
pe353dbe42c8654f33588d4da0b517469,p626c741b39c2fba8130d97da73a32e14
pe353dbe42c8654f33588d4da0b517469,pf6f679deee6daa96ac73e124a2ed8dd9
pe353dbe42c8654f33588d4da0b517469,pd0a2fa8b6b8f4927779756a66583685c
pe353dbe42c8654f33588d4da0b517469,p64b5153c41e1f97130b7c355de783151
pe353dbe42c8654f33588d4da0b517469,p970d5809a9c7ffb90f1282133e82e01c
pe353dbe42c8654f33588d4da0b517469,p941c68115bdb5db832c9e37d5e854526
pe353dbe42c8654f33588d4da0b517469,pe2624385d25befd22a157d0d5b557612
pe353dbe42c8654f33588d4da0b517469,p23ed00f02946e3af3020d4be2611f1bd
pe353dbe42c8654f33588d4da0b517469,pb79fe172e967ab0db7be7ae9aafcf6b4
pe353dbe42c8654f33588d4da0b517469,pd52995ddb210e2eec5efe0878e54c844
pe353dbe42c8654f33588d4da0b517469,p74113475610fff545baeec8c592fedad
pe353dbe42c8654f33588d4da0b517469,p3ce4738c60d24e31e082ce819f2c5878
pe353dbe42c8654f33588d4da0b517469,p94fffc86f38116e489c16f08e3e1b8ba
pe353dbe42c8654f33588d4da0b517469,pabb8a341a36f1df45fef66c6d9ffeb42
pe353dbe42c8654f33588d4da0b517469,p1db943d87cfaf5ab530bcd30b0ce8137
pe353dbe42c8654f33588d4da0b517469,p257049ef3139272cb6354a06036e3000
pe353dbe42c8654f33588d4da0b517469,p8b73f46b9a604b587f595a189cb88847
pe353dbe42c8654f33588d4da0b517469,pa15ea4810f64111c21abd36e231eec88
pe353dbe42c8654f33588d4da0b517469,pb902bd9b09e7c5ada70467782bc5a581
pe353dbe42c8654f33588d4da0b517469,pe8fc8c08fa51de9a5c7f980b75515bc2
pe353dbe42c8654f33588d4da0b517469,p4c2ed1df44088adda9f6b37a754a1f24
pe353dbe42c8654f33588d4da0b517469,p187a984fedb4ea39538eb658e7180951
pe353dbe42c8654f33588d4da0b517469,p39b4d5e74f9e325b29665fdea7021004
pefdb10f57d09bc5611d080eb37992c7d,p103fdcb267b754f4aa735b7e17ab3bd4
pefdb10f57d09bc5611d080eb37992c7d,pfa846aff9a3b876ff5610528290685dd
pefdb10f57d09bc5611d080eb37992c7d,p7bad236d3d8ff4e99532279df7d04879
pefdb10f57d09bc5611d080eb37992c7d,p34365036fefe9fbdebbb010ef7cebbf6
pefdb10f57d09bc5611d080eb37992c7d,pd4fdaf120ba74becec9856c12d759fe9
pefdb10f57d09bc5611d080eb37992c7d,pc46ddd8a470f147eb7891cbe80a06c9c
pefdb10f57d09bc5611d080eb37992c7d,p6ed66139d412300251eff16ec6608069
pefdb10f57d09bc5611d080eb37992c7d,p3e436ce1dde27452bdb5abe22c4a1f63
pefdb10f57d09bc5611d080eb37992c7d,p48b9e35528a6ffd941ca608ca54f5a02
pefdb10f57d09bc5611d080eb37992c7d,p6e17e742475d802765e82947d69a528b
pa1fa4eed14d4380c200c0e27450dd54c,p68e76be7db43616817a4ca12120ed7a7
pa1fa4eed14d4380c200c0e27450dd54c,pe0f23f0dfedb2e3b1d78839890b716a0
p6930d8460db356575f6c320b31c17d75,p5bec9754e4fbf4f42a951312e524daa1
p6930d8460db356575f6c320b31c17d75,p7a01c30b6aeb0e274bd9279d694ab987
p6930d8460db356575f6c320b31c17d75,p2b355c50990bbf2d53a8f094626b3e3f
p443f0145895e7a96d873662cd9410ed0,pef60f8d7b5f211ae4d0b687debf0630b
p443f0145895e7a96d873662cd9410ed0,pb31c7ca4a4c6a630b7851798a5fdedd6
p443f0145895e7a96d873662cd9410ed0,pdd9f005ecfa1da20aceaf8a1925f13ac
p443f0145895e7a96d873662cd9410ed0,p9f5c099ea8596a0f8eccd49349ba119d
p443f0145895e7a96d873662cd9410ed0,p28012ca6bea81d061332e4001185e540
p443f0145895e7a96d873662cd9410ed0,p36023ffe5305a1cb7838f6d967afc2b2
p443f0145895e7a96d873662cd9410ed0,pb79fe172e967ab0db7be7ae9aafcf6b4
p443f0145895e7a96d873662cd9410ed0,p618eed82d0219df5f9075bca1c78cdc3
p443f0145895e7a96d873662cd9410ed0,pfe3669852e8bb6a632b65ba9e1917a4e
p443f0145895e7a96d873662cd9410ed0,p6f7443c578070c679c8c4bb443f9f80d
p443f0145895e7a96d873662cd9410ed0,p42d303456322520fbcf59d4cd93b6f28
p443f0145895e7a96d873662cd9410ed0,pad3abcbc97c8b22c0d6155b69a9b3625
p443f0145895e7a96d873662cd9410ed0,p1d40c92660d5f4bbf367a0c5769ec50e
p443f0145895e7a96d873662cd9410ed0,pf7c6e30635ed3c6ac3837bc818c32cc8
p443f0145895e7a96d873662cd9410ed0,p03f0f30b37251ccf355258911922d70b
p443f0145895e7a96d873662cd9410ed0,p950236e74c9b9a9caa70e167f5b761d1
p443f0145895e7a96d873662cd9410ed0,pe8ac0afdda35db839ed6a723e2f95307
p443f0145895e7a96d873662cd9410ed0,p914158430e196ef7adb005d17889b1b4
p443f0145895e7a96d873662cd9410ed0,p3904bea12165f27b0237a86b9cc9ab23
pf74649b4bf68b8aac4efe4af61cc1ebe,p59000eb6fd9e5dc83e5fe8a8e199e602
pf74649b4bf68b8aac4efe4af61cc1ebe,p84895cc1bb5f3cbbcecd48a876118f2f
pf74649b4bf68b8aac4efe4af61cc1ebe,pa9760f80b73a2fbfa1d3cd02d593f36e
pf74649b4bf68b8aac4efe4af61cc1ebe,pa30ed742af925a88e3082eb141e31888
pf74649b4bf68b8aac4efe4af61cc1ebe,p203d055ab2f7fb3700316287264e281a
pf74649b4bf68b8aac4efe4af61cc1ebe,pa0d9032c145b1ef3609d78f2d398a9dc
pf74649b4bf68b8aac4efe4af61cc1ebe,pe9bc5b8068e5908c267cccac87d11414
pf74649b4bf68b8aac4efe4af61cc1ebe,p11111c113d3c329a848677ccd75371ac
pf74649b4bf68b8aac4efe4af61cc1ebe,p1b9c1357588f07f242614b98de578c27
pf74649b4bf68b8aac4efe4af61cc1ebe,p0250b9b8fb37d4063838a26d30ac5189
pf74649b4bf68b8aac4efe4af61cc1ebe,p3d70228585ca28a30d8f84e96f0fdb44
pf74649b4bf68b8aac4efe4af61cc1ebe,p456d21805fb172725381f9fc138f7d0e
pf74649b4bf68b8aac4efe4af61cc1ebe,pe483e69ff9b2f80aa58f1b039d84af68
pa1fa4eed14d4380c200c0e27450dd54c,pc519f84dc63fa7179f8e9da07ff42e58
pa1fa4eed14d4380c200c0e27450dd54c,p63348233aea05208cdf72e2f49cbaec3
pa1fa4eed14d4380c200c0e27450dd54c,p713a8cc468904d6bba87c1c22b4e156c
pa1fa4eed14d4380c200c0e27450dd54c,p7a13d70de79f1f2e03b77f632e325d52
pa1fa4eed14d4380c200c0e27450dd54c,pc03be61e69eb01254f3aac3aee7577e5
pa1fa4eed14d4380c200c0e27450dd54c,p7600716aeebe65ddc193d58aabc2b4b8
pa1fa4eed14d4380c200c0e27450dd54c,p3d70228585ca28a30d8f84e96f0fdb44
pa1fa4eed14d4380c200c0e27450dd54c,p63a39d06849c62f7a78b740061ccf253
pa1fa4eed14d4380c200c0e27450dd54c,p840505bba7fe45d4450171a358fe9b26
pb66911e4dc333c58142cd895f5d30879,pcd5792de9a5f41f9496bb8051a5164e3
pb66911e4dc333c58142cd895f5d30879,pdf78b85d4e5a9b157fab5a8fb3f934cd
pb66911e4dc333c58142cd895f5d30879,p5dfc088d9d7da28ce9777e6e5e4a7f05
pb66911e4dc333c58142cd895f5d30879,pb818b265f852fe1a4480c8a427db5b48
pb66911e4dc333c58142cd895f5d30879,pb2bf92d92c804070f718d4242597c6fe
pb66911e4dc333c58142cd895f5d30879,p049df60d018d82cee463cf80df77f7e5
pb66911e4dc333c58142cd895f5d30879,p70dfee259286e0c5260924e2d33cd767
pb66911e4dc333c58142cd895f5d30879,pa9ddedd0e976c957e88fe96d32721088
pb66911e4dc333c58142cd895f5d30879,p8e43df4dba84d57a00cb1d2f7e4e8fd0
pb66911e4dc333c58142cd895f5d30879,pfc39497d5c0a3996a11e8bf70a85e845
pb66911e4dc333c58142cd895f5d30879,p4048df8f15ca3e39d0f659f69df31440
pb66911e4dc333c58142cd895f5d30879,pd5d5aae80a2a2937f847d946225f6c6b
pb66911e4dc333c58142cd895f5d30879,pc15cb81e93efc464f45ff73064529402
pb66911e4dc333c58142cd895f5d30879,p4419b5247a26ab39a85187497f530ced
pb66911e4dc333c58142cd895f5d30879,pa7b50d5d10d6d81193ad2a8ca9425a8d
pb66911e4dc333c58142cd895f5d30879,p1691415498a1ee23a8cdcde8e17dae26
pb66911e4dc333c58142cd895f5d30879,p8b203a7d049ba4aabc07a90c55c3991b
pb66911e4dc333c58142cd895f5d30879,p3becb15b34f10cd49d65ff2033220670
pb66911e4dc333c58142cd895f5d30879,p497fd2102320f4e35b079a5b60056304
pb66911e4dc333c58142cd895f5d30879,pef0377f888d7b2b4d8241382f117eedb
pe353dbe42c8654f33588d4da0b517469,p2037b6023eac2ae53bce31683ca51f13
pe353dbe42c8654f33588d4da0b517469,p66013df294948ba7961b952ad3d032ac
p84dad78c4c0f409e9c303bdada282d21,p0ff6992d3c0a02cfc618e50424da5c0a
pa0da8eddc9c03e62c94b2bb371f982da,pf27af57afa8291bca78b3505428141ed
p2d1d7cce1e742ab9c46b688074c115b8,p53acd0ed89cefbb61ae1b1638dc17131
p2d1d7cce1e742ab9c46b688074c115b8,pbc044a7a5d520ca34657925f5e5b6751
p2abf19613cb51b89f00f0064a973265a,pddad68ae94ed4263c1bde410c8d5190a
p2abf19613cb51b89f00f0064a973265a,p466f2aeedc83834d6bedd7721950282b
p2abf19613cb51b89f00f0064a973265a,pc89a401ee991183e22ffe1dbe6cad987
p2abf19613cb51b89f00f0064a973265a,p0c17886f29eb1c12fb98f184e1a4de92
